index  confidence   rules
 125   0.762        ['root vegetables', 'other vegetables', 'butter', 'yogurt']=>['whole milk']
 126   0.762        ['tropical fruit', 'yogurt', 'other vegetables', 'domestic eggs']=>['whole milk']
 127   0.760        ['root vegetables', 'turkey']=>['other vegetables']
 128   0.760        ['root vegetables', 'pip fruit', 'sausage']=>['whole milk']
 129   0.760        ['root vegetables', 'frozen vegetables', 'yogurt']=>['other vegetables']
 130   0.760        ['pip fruit', 'cream cheese', 'yogurt']=>['whole milk']
 131   0.760        ['root vegetables', 'beef', 'whole milk', 'tropical fruit']=>['other vegetables']
 132   0.759        ['butter', 'domestic eggs', 'yogurt']=>['whole milk']
 133   0.758        ['other vegetables', 'beef', 'domestic eggs']=>['whole milk']
 134   0.750        ['mustard', 'bottled water']=>['whole milk']
 135   0.750        ['curd', 'ham']=>['whole milk']
 136   0.750        ['herbs', 'curd']=>['whole milk']
 137   0.750        ['butter', 'onions']=>['whole milk']
 138   0.750        ['other vegetables', 'hamburger meat', 'pork']=>['whole milk']
 139   0.750        ['pip fruit', 'butter', 'whipped/sour cream']=>['other vegetables']
 140   0.750        ['root vegetables', 'butter', 'onions']=>['other vegetables']
 141   0.750        ['root vegetables', 'other vegetables', 'soft cheese']=>['whole milk']
 142   0.750        ['root vegetables', 'butter', 'napkins']=>['whole milk']
 143   0.750        ['root vegetables', 'waffles', 'yogurt']=>['whole milk']
 144   0.750        ['oil', 'root vegetables', 'tropical fruit']=>['whole milk']
 145   0.750        ['butter', 'other vegetables', 'napkins']=>['whole milk']
 146   0.750        ['other vegetables', 'hygiene articles', 'yogurt']=>['whole milk']
 147   0.750        ['tropical fruit', 'curd', 'yogurt']=>['whole milk']
 148   0.750        ['root vegetables', 'chicken', 'domestic eggs']=>['whole milk']
 149   0.750        ['root vegetables', 'white bread', 'tropical fruit']=>['whole milk']
 150   0.750        ['root vegetables', 'processed cheese', 'whole milk']=>['other vegetables']
 151   0.750        ['rolls/buns', 'yogurt', 'long life bakery product']=>['whole milk']
 152   0.750        ['root vegetables', 'butter', 'curd']=>['whole milk']
 153   0.750        ['sugar', 'cream cheese', 'whole milk']=>['other vegetables']
 154   0.750        ['root vegetables', 'pork', 'fruit/vegetable juice']=>['other vegetables']
 155   0.750        ['root vegetables', 'butter', 'domestic eggs']=>['whole milk']
 156   0.750        ['citrus fruit', 'root vegetables', 'domestic eggs']=>['other vegetables']
 157   0.750        ['tropical fruit', 'root vegetables', 'sliced cheese']=>['other vegetables']
 158   0.750        ['root vegetables', 'rice', 'whole milk']=>['other vegetables']
 159   0.750        ['citrus fruit', 'root vegetables', 'whipped/sour cream', 'whole milk']=>['other vegetables']
 160   0.750        ['root vegetables', 'pip fruit', 'yogurt', 'tropical fruit']=>['whole milk']
 161   0.742        ['citrus fruit', 'whipped/sour cream', 'tropical fruit']=>['whole milk']
 162   0.742        ['pip fruit', 'pork', 'whole milk']=>['other vegetables']
 163   0.742        ['citrus fruit', 'yogurt', 'root vegetables', 'whole milk']=>['other vegetables']
 164   0.741        ['sugar', 'cream cheese']=>['whole milk']
 165   0.741        ['butter', 'soft cheese']=>['whole milk']
 166   0.741        ['root vegetables', 'frankfurter', 'tropical fruit']=>['whole milk']
 167   0.741        ['curd', 'domestic eggs', 'yogurt']=>['whole milk']
 168   0.739        ['curd', 'cat food']=>['whole milk']
 169   0.739        ['tropical fruit', 'frozen meals', 'other vegetables']=>['whole milk']
 170   0.739        ['butter', 'white bread', 'whole milk']=>['other vegetables']
 171   0.739        ['butter', 'white bread', 'other vegetables']=>['whole milk']
 172   0.739        ['baking powder', 'other vegetables', 'yogurt']=>['whole milk']
 173   0.739        ['rolls/buns', 'bottled beer', 'yogurt']=>['whole milk']
 174   0.739        ['pip fruit', 'butter', 'yogurt']=>['whole milk']
 175   0.739        ['tropical fruit', 'butter', 'domestic eggs']=>['other vegetables']
 176   0.739        ['citrus fruit', 'butter', 'whipped/sour cream']=>['whole milk']
 177   0.739        ['other vegetables', 'hamburger meat', 'domestic eggs']=>['whole milk']
 178   0.739        ['yogurt', 'grapes', 'whole milk']=>['other vegetables']
 179   0.739        ['whipped/sour cream', 'other vegetables', 'butter milk']=>['whole milk']
 180   0.739        ['tropical fruit', 'root vegetables', 'whipped/sour cream', 'yogurt']=>['other vegetables']
 181   0.739        ['citrus fruit', 'other vegetables', 'whipped/sour cream', 'yogurt']=>['whole milk']
 182   0.739        ['root vegetables', 'pip fruit', 'whipped/sour cream', 'whole milk']=>['other vegetables']
 183   0.735        ['root vegetables', 'fruit/vegetable juice', 'yogurt']=>['whole milk']
 184   0.735        ['rolls/buns', 'curd', 'yogurt']=>['whole milk']
 185   0.734        ['curd', 'domestic eggs']=>['whole milk']
 186   0.733        ['soft cheese', 'whipped/sour cream']=>['other vegetables']
 187   0.733        ['tropical fruit', 'root vegetables', 'whipped/sour cream']=>['other vegetables']
 188   0.733        ['butter', 'other vegetables', 'curd']=>['whole milk']
 189   0.733        ['tropical fruit', 'butter', 'yogurt']=>['whole milk']
 190   0.731        ['pip fruit', 'root vegetables', 'fruit/vegetable juice']=>['whole milk']
 191   0.731        ['tropical fruit', 'other vegetables', 'ham']=>['whole milk']
 192   0.730        ['tropical fruit', 'root vegetables', 'beef']=>['other vegetables']
 193   0.730        ['pip fruit', 'whipped/sour cream', 'tropical fruit']=>['other vegetables']
 194   0.727        ['frankfurter', 'berries']=>['whole milk']
 195   0.727        ['grapes', 'pork']=>['other vegetables']
 196   0.727        ['soft cheese', 'frozen vegetables']=>['other vegetables']
 197   0.727        ['oil', 'sugar']=>['whole milk']
 198   0.727        ['root vegetables', 'soft cheese']=>['other vegetables']
 199   0.727        ['citrus fruit', 'bottled beer', 'bottled water']=>['whole milk']
 200   0.727        ['root vegetables', 'pip fruit', 'bottled water']=>['whole milk']
 201   0.727        ['sugar', 'other vegetables', 'pork']=>['whole milk']
 202   0.727        ['root vegetables', 'butter', 'bottled water']=>['whole milk']
 203   0.727        ['pip fruit', 'hygiene articles', 'tropical fruit']=>['whole milk']
 204   0.727        ['chicken', 'other vegetables', 'domestic eggs']=>['whole milk']
 205   0.727        ['margarine', 'domestic eggs', 'yogurt']=>['whole milk']
 206   0.727        ['root vegetables', 'bottled water', 'domestic eggs']=>['other vegetables']
 207   0.727        ['root vegetables', 'pip fruit', 'other vegetables', 'tropical fruit']=>['whole milk']
 208   0.727        ['root vegetables', 'other vegetables', 'pastry', 'yogurt']=>['whole milk']
 209   0.724        ['citrus fruit', 'herbs']=>['other vegetables']
 210   0.724        ['root vegetables', 'shopping bags', 'yogurt']=>['other vegetables']
 211   0.724        ['tropical fruit', 'frankfurter', 'yogurt']=>['whole milk']
 212   0.722        ['other vegetables', 'bottled beer', 'yogurt']=>['whole milk']
 213   0.722        ['yogurt', 'other vegetables', 'long life bakery product']=>['whole milk']
 214   0.722        ['butter', 'other vegetables', 'bottled water']=>['whole milk']
 215   0.720        ['curd', 'onions']=>['whole milk']
 216   0.720        ['chicken', 'sugar']=>['whole milk']
 217   0.720        ['root vegetables', 'frozen meals', 'other vegetables']=>['whole milk']
 218   0.720        ['root vegetables', 'domestic eggs', 'fruit/vegetable juice']=>['whole milk']
 219   0.720        ['tropical fruit', 'hygiene articles', 'yogurt']=>['whole milk']
 220   0.719        ['root vegetables', 'frankfurter', 'yogurt']=>['whole milk']
 221   0.719        ['pastry', 'curd', 'yogurt']=>['whole milk']
 222   0.716        ['butter', 'curd']=>['whole milk']
 223   0.714        ['butter milk', 'long life bakery product']=>['whole milk']
 224   0.714        ['sugar', 'domestic eggs']=>['whole milk']
 225   0.714        ['root vegetables', 'baking powder']=>['other vegetables']
 226   0.714        ['hard cheese', 'margarine']=>['whole milk']
 227   0.714        ['herbs', 'domestic eggs']=>['whole milk']
 228   0.714        ['dessert', 'butter milk']=>['whole milk']
 229   0.714        ['frozen vegetables', 'ham']=>['other vegetables']
 230   0.714        ['specialty cheese', 'yogurt']=>['whole milk']
 231   0.714        ['rolls/buns', 'roll products']=>['whole milk']
 232   0.714        ['citrus fruit', 'root vegetables', 'curd']=>['other vegetables']
 233   0.714        ['rolls/buns', 'ham', 'yogurt']=>['whole milk']
 234   0.714        ['hamburger meat', 'pork', 'whole milk']=>['other vegetables']
 235   0.714        ['tropical fruit', 'soft cheese', 'whole milk']=>['yogurt']
 236   0.714        ['pip fruit', 'other vegetables', 'onions']=>['whole milk']
 237   0.714        ['tropical fruit', 'sausage', 'curd']=>['other vegetables']
 238   0.714        ['tropical fruit', 'white bread', 'yogurt']=>['whole milk']
 239   0.714        ['root vegetables', 'chicken', 'butter']=>['whole milk']
 240   0.714        ['dessert', 'whipped/sour cream', 'yogurt']=>['whole milk']
 241   0.714        ['whipped/sour cream', 'coffee', 'other vegetables']=>['whole milk']
 242   0.714        ['tropical fruit', 'chicken', 'yogurt']=>['other vegetables']
 243   0.714        ['butter', 'whipped/sour cream', 'curd']=>['whole milk']
 244   0.714        ['tropical fruit', 'whipped/sour cream', 'curd']=>['whole milk']
 245   0.714        ['sugar', 'whipped/sour cream', 'yogurt']=>['whole milk']
 246   0.714        ['whipped/sour cream', 'frozen vegetables', 'fruit/vegetable juice']=>['other vegetables']
 247   0.714        ['other vegetables', 'hard cheese', 'yogurt']=>['whole milk']
 248   0.714        ['other vegetables', 'bottled water', 'frozen vegetables']=>['whole milk']
 249   0.714        ['citrus fruit', 'rolls/buns', 'whipped/sour cream']=>['whole milk']
 250   0.714        ['tropical fruit', 'frozen meals', 'pip fruit']=>['whole milk']
 251   0.714        ['other vegetables', 'whipped/sour cream', 'ham']=>['whole milk']
 252   0.714        ['root vegetables', 'other vegetables', 'processed cheese']=>['whole milk']
 253   0.714        ['root vegetables', 'rolls/buns', 'margarine']=>['whole milk']
 254   0.714        ['tropical fruit', 'margarine', 'whipped/sour cream']=>['yogurt']
 255   0.714        ['tropical fruit', 'bottled water', 'hygiene articles']=>['whole milk']
 256   0.714        ['sliced cheese', 'other vegetables', 'whipped/sour cream']=>['whole milk']
 257   0.714        ['tropical fruit', 'onions', 'yogurt']=>['whole milk']
 258   0.714        ['margarine', 'bottled water', 'domestic eggs']=>['whole milk']
 259   0.714        ['root vegetables', 'sausage', 'whipped/sour cream']=>['yogurt']
 260   0.714        ['root vegetables', 'cream cheese', 'whipped/sour cream']=>['yogurt']
 261   0.714        ['pip fruit', 'dessert', 'yogurt']=>['other vegetables']
 262   0.714        ['root vegetables', 'rolls/buns', 'pork']=>['whole milk']
 263   0.714        ['tropical fruit', 'onions', 'yogurt']=>['other vegetables']
 264   0.714        ['citrus fruit', 'yogurt', 'root vegetables', 'tropical fruit']=>['whole milk']
 265   0.714        ['tropical fruit', 'root vegetables', 'other vegetables', 'yogurt']=>['whole milk']
 266   0.714        ['tropical fruit', 'rolls/buns', 'whipped/sour cream', 'yogurt']=>['whole milk']
 267   0.714        ['tropical fruit', 'rolls/buns', 'whipped/sour cream', 'whole milk']=>['yogurt']
 268   0.714        ['tropical fruit', 'rolls/buns', 'beef', 'whole milk']=>['other vegetables']
 269   0.714        ['tropical fruit', 'rolls/buns', 'pastry', 'yogurt']=>['whole milk']
 270   0.714        ['butter', 'other vegetables', 'whipped/sour cream', 'yogurt']=>['whole milk']
 271   0.711        ['baking powder', 'yogurt']=>['whole milk']
 272   0.711        ['sliced cheese', 'whipped/sour cream']=>['whole milk']
 273   0.710        ['root vegetables', 'rice']=>['other vegetables']
 274   0.710        ['oil', 'whole milk', 'yogurt']=>['other vegetables']
 275   0.708        ['pip fruit', 'herbs']=>['other vegetables']
 276   0.708        ['white bread', 'onions']=>['other vegetables']
 277   0.708        ['butter', 'cat food']=>['whole milk']
 278   0.708        ['tropical fruit', 'yogurt', 'long life bakery product']=>['whole milk']
 279   0.708        ['cream cheese', 'curd', 'yogurt']=>['other vegetables']
 280   0.708        ['cream cheese', 'curd', 'yogurt']=>['whole milk']
 281   0.708        ['pip fruit', 'brown bread', 'tropical fruit']=>['whole milk']
 282   0.708        ['other vegetables', 'hamburger meat', 'whipped/sour cream']=>['whole milk']
 283   0.708        ['rolls/buns', 'whipped/sour cream', 'curd']=>['whole milk']
 284   0.708        ['tropical fruit', 'ham', 'yogurt']=>['other vegetables']
 285   0.708        ['pip fruit', 'cream cheese', 'other vegetables']=>['whole milk']
 286   0.708        ['tropical fruit', 'root vegetables', 'butter', 'whole milk']=>['yogurt']
 287   0.706        ['root vegetables', 'yogurt', 'fruit/vegetable juice']=>['other vegetables']
 288   0.705        ['tropical fruit', 'whipped/sour cream', 'yogurt']=>['whole milk']
 289   0.705        ['citrus fruit', 'root vegetables', 'other vegetables', 'tropical fruit']=>['whole milk']
 290   0.704        ['butter', 'pork']=>['whole milk']
 291   0.704        ['tropical fruit', 'coffee', 'whole milk']=>['yogurt']
 292   0.704        ['tropical fruit', 'ham', 'whole milk']=>['other vegetables']
 293   0.704        ['tropical fruit', 'root vegetables', 'whipped/sour cream', 'whole milk']=>['other vegetables']
 294   0.704        ['root vegetables', 'other vegetables', 'beef', 'tropical fruit']=>['whole milk']
 295   0.702        ['butter', 'coffee']=>['whole milk']
 296   0.700        ['citrus fruit', 'soda', 'root vegetables']=>['other vegetables']
 297   0.700        ['root vegetables', 'yogurt', 'tropical fruit']=>['whole milk']
 298   0.700        ['citrus fruit', 'curd', 'yogurt']=>['whole milk']
 299   0.700        ['tropical fruit', 'butter', 'whipped/sour cream']=>['whole milk']
 300   0.700        ['other vegetables', 'whipped/sour cream', 'domestic eggs']=>['whole milk']
